Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,8,ACCELERATING,false,0,0,0,0,1,,,0,0,4
4,2,4,23,8,USED_LIZARD,false,0,0,0,0,0,,,0,0,4
5,2,4,32,9,ACCELERATING,false,0,0,0,0,0,,,0,0,4
6,2,4,41,9,ACCELERATING,false,0,0,0,0,1,,,0,0,8
7,2,4,50,9,USED_LIZARD,false,0,0,0,0,0,,,0,0,8
8,2,4,59,9,ACCELERATING,false,0,0,1,0,0,,,0,1,16
9,2,4,74,3,HIT_WALL,false,0,3,0,0,0,,,0,1,12
10,2,4,80,6,ACCELERATING,false,0,3,0,0,0,,,0,1,12
11,2,4,86,6,ACCELERATING,false,0,3,0,0,0,,,1,1,16
12,2,4,92,3,HIT_MUD,false,0,4,1,0,0,,,1,1,17
13,2,4,95,0,HIT_MUD,false,0,5,1,0,0,,,1,1,14
14,2,4,95,0,FIXED_CAR,false,0,3,1,0,0,,,1,1,14
15,2,4,98,3,ACCELERATING,false,0,3,1,0,0,,,1,1,14
16,2,4,104,3,HIT_MUD,false,0,4,1,0,0,,,1,1,11
17,2,4,107,3,ACCELERATING,false,0,4,1,0,0,,,1,1,11
18,2,4,110,0,HIT_WALL,false,0,5,1,0,0,,,1,1,6
19,2,4,110,0,FIXED_CAR,false,0,3,1,0,0,,,1,1,6
20,2,4,113,3,ACCELERATING,false,0,3,1,0,0,,,1,1,6
21,2,4,119,6,ACCELERATING,false,0,3,1,0,0,,,1,1,6
22,2,4,125,0,HIT_WALL,false,0,5,0,0,0,,,1,1,5
23,2,4,125,0,FIXED_CAR,false,0,3,0,0,0,,,1,1,5
24,2,4,128,3,ACCELERATING,false,0,3,0,0,1,,,1,1,9
25,2,4,134,6,ACCELERATING,false,0,3,0,0,1,,,1,2,13
26,2,4,140,6,ACCELERATING,false,0,3,0,0,1,,,1,2,13
27,2,4,146,6,ACCELERATING,false,0,3,1,0,1,,,1,2,17
28,2,4,152,6,USED_BOOST,true,5,3,0,0,1,,,1,2,21
29,2,4,158,6,ACCELERATING,true,4,3,0,0,1,,,1,2,21
30,2,4,164,6,ACCELERATING,true,3,3,0,0,1,,,1,2,21
31,2,4,170,6,ACCELERATING,true,2,3,0,0,1,,,1,2,21
32,2,4,176,6,ACCELERATING,true,1,3,1,0,1,,,2,2,29
33,2,4,182,6,USED_BOOST,true,5,3,0,0,1,,,2,2,33
34,2,4,188,6,ACCELERATING,true,4,3,0,0,1,,,2,2,33
35,2,4,194,6,ACCELERATING,true,3,3,0,0,1,,,2,3,37
36,2,4,200,6,ACCELERATING,true,2,3,0,0,1,,,2,3,37
37,2,4,206,6,ACCELERATING,true,1,3,0,0,1,,,2,3,37
38,2,4,212,6,USED_LIZARD,false,0,3,0,0,0,,,2,3,37
39,2,4,218,0,HIT_WALL,false,0,5,0,0,0,,,2,3,29
40,2,4,218,0,FIXED_CAR,false,0,3,0,0,0,,,2,3,29
41,2,4,221,3,ACCELERATING,false,0,3,0,0,0,,,2,3,29
42,2,4,227,6,ACCELERATING,false,0,3,0,0,0,,,2,3,29
43,2,4,233,3,HIT_MUD,false,0,4,0,0,0,,,2,3,26
44,2,4,236,3,ACCELERATING,false,0,4,0,0,0,,,2,3,26
45,2,4,239,3,ACCELERATING,false,0,4,0,0,0,,,2,3,26
46,2,4,242,3,ACCELERATING,false,0,4,0,0,0,,,2,3,26
47,2,4,245,3,ACCELERATING,false,0,4,0,0,0,,,2,3,26
48,2,4,248,3,ACCELERATING,false,0,4,0,0,0,,,2,3,26
49,2,4,251,3,ACCELERATING,false,0,4,0,0,0,,,2,3,26
50,2,4,254,3,ACCELERATING,false,0,4,0,0,0,,,2,3,26
51,2,4,257,3,ACCELERATING,false,0,4,0,0,0,,,2,3,26
52,2,4,260,0,HIT_MUD,false,0,5,0,0,0,,,2,3,17
53,2,4,260,0,FIXED_CAR,false,0,3,0,0,0,,,2,3,17
54,2,4,263,3,ACCELERATING,false,0,3,0,0,0,,,2,3,17
55,2,4,269,6,ACCELERATING,false,0,3,0,0,0,,,2,3,17
56,2,4,275,6,ACCELERATING,false,0,3,0,0,0,,,2,3,17
57,2,4,281,6,ACCELERATING,false,0,3,0,0,0,,,2,3,17
58,2,4,287,6,ACCELERATING,false,0,3,0,1,0,,,2,3,21
59,2,4,293,6,ACCELERATING,false,0,3,0,1,0,,,2,3,21
60,2,4,299,6,ACCELERATING,false,0,3,0,1,0,,,2,3,21
61,2,4,305,6,ACCELERATING,false,0,3,1,1,0,,,2,3,25
62,2,4,311,6,USED_BOOST,true,5,3,0,1,0,,,2,3,29
63,2,4,317,6,ACCELERATING,true,4,3,0,1,0,,,2,3,29
64,2,4,323,0,HIT_MUD,false,0,5,0,1,0,,,2,3,23
65,2,4,323,0,FIXED_CAR,false,0,3,0,1,0,,,2,3,23
66,2,4,326,3,ACCELERATING,false,0,3,0,1,0,,,2,3,23
67,2,4,332,3,HIT_MUD,false,0,4,1,1,0,,,2,3,24
68,2,4,335,3,ACCELERATING,false,0,4,1,1,0,,,2,3,24
69,2,4,338,3,ACCELERATING,false,0,4,1,1,0,,,2,3,24
70,2,4,341,0,HIT_MUD,false,0,5,1,1,0,,,2,3,21
71,2,4,341,0,FIXED_CAR,false,0,3,1,1,0,,,2,3,21
72,2,4,344,3,ACCELERATING,false,0,3,2,1,0,,,2,4,29
73,2,4,350,3,HIT_MUD,false,0,4,2,1,0,,,2,4,26
74,2,4,353,3,ACCELERATING,false,0,4,2,1,0,,,2,4,26
75,2,4,356,3,ACCELERATING,false,0,4,2,1,0,,,2,4,26
76,2,4,359,3,ACCELERATING,false,0,4,2,1,0,,,2,4,26
77,2,4,362,0,HIT_MUD,false,0,5,2,1,0,,,2,4,23
78,2,4,362,0,FIXED_CAR,false,0,3,2,1,0,,,2,4,23
79,2,4,365,0,HIT_MUD,false,0,5,2,1,0,,,2,4,17
80,2,4,365,0,FIXED_CAR,false,0,3,2,1,0,,,2,4,17
81,2,4,368,3,ACCELERATING,false,0,3,2,1,0,,,3,4,21
82,2,4,374,6,ACCELERATING,false,0,3,2,1,0,,,3,4,21
83,2,4,380,6,USED_BOOST,true,5,3,2,1,0,,,4,4,33
84,2,4,386,3,HIT_MUD,false,0,4,1,1,0,,,4,4,34
85,2,4,389,3,ACCELERATING,false,0,4,1,1,0,,,4,4,34
86,2,4,392,3,ACCELERATING,false,0,4,1,1,0,,,4,4,34
87,2,4,395,0,HIT_MUD,false,0,5,1,1,0,,,4,4,31
88,2,4,395,0,FIXED_CAR,false,0,3,1,1,0,,,4,4,31
89,2,4,398,3,ACCELERATING,false,0,3,2,1,0,,,4,4,35
90,2,4,404,6,ACCELERATING,false,0,3,2,1,0,,,4,4,35
91,2,4,410,3,HIT_MUD,false,0,4,1,1,0,,,5,4,40
92,2,4,413,3,ACCELERATING,false,0,4,1,1,0,,,5,4,40
93,2,4,416,3,ACCELERATING,false,0,4,1,1,0,,,5,4,40
94,2,4,419,3,ACCELERATING,false,0,4,1,1,0,,,5,4,40
95,2,4,422,0,HIT_MUD,false,0,5,1,1,0,,,5,4,37
96,2,4,422,0,FIXED_CAR,false,0,3,1,1,0,,,5,4,37
97,2,4,425,3,ACCELERATING,false,0,3,1,1,0,,,5,4,37
98,2,4,431,6,ACCELERATING,false,0,3,1,1,0,,,5,4,37
99,2,4,437,6,USED_BOOST,true,5,3,1,1,0,,,5,4,45
100,2,4,443,6,USED_BOOST,true,5,3,0,1,0,,,5,4,49
101,2,4,449,6,ACCELERATING,true,4,3,0,1,0,,,5,4,49
102,2,4,455,6,ACCELERATING,true,3,3,0,1,0,,,5,4,49
103,2,4,461,3,HIT_MUD,false,0,4,0,1,0,,,5,4,46
104,2,4,464,0,HIT_MUD,false,0,5,0,1,0,,,5,4,43
105,2,4,464,0,FIXED_CAR,false,0,3,0,1,0,,,5,4,43
106,2,4,467,3,ACCELERATING,false,0,3,0,1,0,,,5,4,43
107,2,4,473,6,ACCELERATING,false,0,3,0,1,0,,,5,4,43
108,2,4,479,6,ACCELERATING,false,0,3,0,1,0,,,6,4,47
109,2,4,485,6,ACCELERATING,false,0,3,0,1,0,,,6,4,47
110,2,4,491,6,ACCELERATING,false,0,3,1,1,0,,,6,4,51
111,2,4,497,6,USED_BOOST,true,5,3,0,1,0,,,6,4,55
112,2,4,503,6,ACCELERATING,true,4,3,0,1,0,,,6,4,55
113,2,4,509,0,HIT_MUD,false,0,5,0,1,0,,,6,4,46
114,2,4,509,0,FIXED_CAR,false,0,3,0,1,0,,,6,4,46
115,2,4,512,3,ACCELERATING,false,0,3,1,1,0,,,6,4,50
116,2,4,518,6,ACCELERATING,false,0,3,1,1,0,,,6,4,50
117,2,4,524,6,USED_BOOST,true,5,3,0,1,1,,,6,4,58
118,2,4,530,6,ACCELERATING,true,4,3,0,1,1,,,6,4,58
119,2,4,536,6,ACCELERATING,true,3,3,0,1,1,,,6,4,58
120,2,4,542,6,ACCELERATING,true,2,3,0,1,1,,,6,4,58
121,2,4,548,6,ACCELERATING,true,1,3,0,1,1,,,7,4,62
122,2,4,554,6,USED_LIZARD,false,0,3,0,1,0,,,7,4,62
123,2,4,560,6,ACCELERATING,false,0,3,0,1,0,,,7,4,62
124,2,4,566,3,HIT_MUD,false,0,4,1,1,0,,,7,4,63
125,2,4,569,3,ACCELERATING,false,0,4,1,1,0,,,7,4,63
126,2,4,572,3,ACCELERATING,false,0,4,1,1,0,,,8,4,67
127,2,4,575,3,ACCELERATING,false,0,4,1,1,0,,,8,4,67
128,2,4,578,3,ACCELERATING,false,0,4,1,1,0,,,8,4,67
129,2,4,581,3,ACCELERATING,false,0,4,1,1,0,,,8,4,67
130,2,4,584,3,ACCELERATING,false,0,4,1,1,0,,,8,4,67
131,2,4,587,0,HIT_WALL,false,0,5,1,1,0,,,8,4,62
132,2,4,587,0,FIXED_CAR,false,0,3,1,1,0,,,8,4,62
133,2,4,590,3,HIT_MUD,false,0,4,1,1,0,,,8,4,59
134,2,4,593,0,HIT_WALL,false,0,5,2,1,0,,,8,4,58
135,2,4,593,0,FIXED_CAR,false,0,3,2,1,0,,,8,4,58
136,2,4,596,3,ACCELERATING,false,0,3,3,1,0,,,8,4,62
137,2,4,602,6,ACCELERATING,false,0,3,3,1,0,,,8,4,62
